"","student_id","cumulative_gpa"
"1",6516,4
"2",8462,NA
"3",11391,6
"4",23629,5
"5",23698,5
"6",23798,7
"7",24186,4
"8",24213,5
"9",24391,7
"10",24734,1.5
"11",25107,4
"12",25150,6
"13",25261,NA
"14",25572,NA
"15",25997,NA
"16",26023,7
"17",26192,7
"18",26211,6
"19",26247,7
"20",26315,4
"21",26734,4
"22",27116,7
"23",27189,1.5
"24",27417,NA
"25",27683,5
"26",27759,4
"27",27780,4
"28",27891,2
"29",27935,6
"30",28046,1.5
"31",28061,6
"32",28400,5
"33",28418,1.5
"34",28787,1.5
"35",28808,5
"36",28897,7
"37",28952,NA
"38",29144,5
"39",29335,7
"40",29411,1.43
"41",29420,5
"42",29639,6
"43",29764,7
"44",29769,5
"45",29820,6
"46",29985,5
"47",30091,6
"48",30096,7
"49",30531,7
"50",30549,1.5
"51",30850,7
"52",31014,NA
"53",31107,7
"54",31161,7
"55",31173,1.5
"56",31205,7
"57",31269,NA
"58",31296,4
"59",31600,4
"60",31604,6
"61",31663,4
"62",31849,5
"63",32221,7
"64",32239,6
"65",32327,NA
"66",32885,4
"67",32930,4
"68",33387,NA
"69",33600,NA
"70",33666,NA
"71",33681,2.5
"72",33796,4
"73",33897,NA
"74",33915,7
"75",33930,6
"76",34068,NA
"77",34087,3
"78",34229,6
"79",34293,NA
"80",34353,6
"81",34431,NA
"82",34653,1.5
"83",34662,NA
"84",34731,NA
"85",34756,NA
"86",34863,4
"87",35001,6
"88",35340,6
"89",35355,3
"90",35502,NA
"91",35508,6.5
"92",35544,6
"93",35747,NA
"94",35796,6
"95",35812,5
"96",35860,6
"97",36347,5
"98",36385,NA
"99",37298,7
"100",37622,5
"101",37652,7
"102",38053,5
"103",38234,5
"104",38711,NA
"105",38941,6
"106",39208,5
"107",39411,5
"108",39427,NA
"109",39655,6
"110",39660,4
"111",39882,5
"112",40184,7
"113",40419,2.5
"114",40563,4
"115",40604,4
"116",40857,NA
"117",40878,7
"118",41060,6
"119",41414,6
"120",41547,1.5
"121",42552,5
"122",42616,5
"123",42638,5.5
"124",42668,6
"125",42746,7
"126",42818,1.5
"127",43273,5
"128",43284,NA
"129",43430,7
"130",43564,7
"131",43958,3.5
"132",45423,4
"133",45462,5
"134",45642,5
"135",45664,2
"136",46016,NA
"137",46148,7
"138",46605,7
"139",46705,6
"140",46753,4
"141",46812,NA
"142",46844,5
"143",47061,5
"144",47063,NA
"145",47855,NA
"146",47861,4
"147",47891,1.5
"148",47924,1.5
"149",48040,4
"150",48152,4
"151",48503,5
"152",48635,2
"153",49119,3.5
"154",49123,7
"155",50069,6
"156",50263,3
"157",50476,7
"158",50487,6
"159",50610,7
"160",50993,1.5
"161",51030,6
"162",51033,5
"163",51153,4
"164",51163,5
"165",51301,NA
"166",51485,7
"167",51576,2.25
"168",51955,1.5
"169",52014,1.5
"170",52130,5
"171",52275,1.5
"172",52426,4
"173",52702,7
"174",52765,4
"175",52797,6
"176",52899,3
"177",53025,6
"178",53136,5
"179",53166,5
"180",53197,1.5
"181",53300,7
"182",53488,6
"183",53632,3.5
"184",53709,3
"185",54062,2.33
"186",54391,NA
"187",54810,2
"188",54867,5
"189",54882,1.5
"190",55013,4
"191",55026,4
"192",55104,5
"193",55419,NA
"194",55450,5
"195",55968,4
"196",56637,7
"197",56667,5
"198",56789,5
"199",57079,5
"200",57227,6
"201",57285,5
"202",57340,5
"203",57506,5
"204",57818,7
"205",57844,6
"206",58071,6
"207",58089,6
"208",58316,5
"209",58549,7
"210",58617,1.5
"211",58640,4
"212",58653,5
"213",58731,4
"214",58873,5
"215",58884,7
"216",59185,6
"217",59272,5
"218",59275,4
"219",59370,4
"220",59541,NA
"221",59725,6
